Model,k,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1
kNN Classification,13,0.805,0.26833333333333337,0.3333333333333333,0.29732225300092335,0.6480250000000001,0.805,0.71803324099723
kNN Classification,15,0.805,0.26833333333333337,0.3333333333333333,0.29732225300092335,0.6480250000000001,0.805,0.71803324099723
kNN Classification,17,0.805,0.26833333333333337,0.3333333333333333,0.29732225300092335,0.6480250000000001,0.805,0.71803324099723
kNN Classification,19,0.805,0.26833333333333337,0.3333333333333333,0.29732225300092335,0.6480250000000001,0.805,0.71803324099723
kNN Classification,21,0.8045,0.26830081707520426,0.3331262939958592,0.2972199131800129,0.6479464732366184,0.8045,0.7177860903297312
kNN Classification,23,0.8045,0.26830081707520426,0.3331262939958592,0.2972199131800129,0.6479464732366184,0.8045,0.7177860903297312
kNN Classification,25,0.805,0.26833333333333337,0.3333333333333333,0.29732225300092335,0.6480250000000001,0.805,0.71803324099723
kNN Classification,27,0.805,0.26833333333333337,0.3333333333333333,0.29732225300092335,0.6480250000000001,0.805,0.71803324099723
kNN Classification,29,0.805,0.26833333333333337,0.3333333333333333,0.29732225300092335,0.6480250000000001,0.805,0.71803324099723
