Algorithm,k,Inertia,Silhouette Score
KMeans,2,543234.272227261,0.24565141837377086
KMeans,3,482659.303101525,0.17114630838059483
KMeans,4,437290.08032882964,0.16965866899016277
KMeans,5,396102.5229279692,0.17107733700877384
KMeans,6,362645.6684981674,0.16854243242406003
KMeans,7,338328.55812101066,0.1701503397241317
KMeans,8,313882.95761243784,0.18357285536518742
